BK;WE;Objekt-Nr;BK/WE/ON;Objekt-Bezeichnung;Gebäudeart;Land;PLZ;Ort;Straße;Bahnhof;Region/Standort;Elektrotechniker
8300;1189701;16;8300/1189701/16;Bahnmeistergebäude - Schladming;Betriebsgebäude;AT;8970;Schladming;Bergwerkstraße 280;;IMM Salzburg (Salzburg);Hess Rudolf
8300;1112101;33;8300/1112101/33;Betriebsgebäude Alter Bf - Wien Floridsdorf;Betriebsgebäude;AT;1210;Wien;Nordbahnanlage 9;;IMM Wien (Wien);
8300;1180201;41;8300/1180201/41;Betriebsgebäude FDL - Graz Vbf;Stellwerksgebäude;AT;8051;Graz;Plabutscherstraße 10;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1110201;55;8300/1110201/55;Verwaltungsgebäude Signstrlg - Wien Nord;Büro/Verwaltungsgebäude;AT;1020;Wien;Innstrasse 18;;IMM Wien (Wien);
8300;1167001;86;8300/1167001/86;Bauhofgebäude - Bludenz;Betriebsgebäude;AT;6700;Bludenz;Mokrystraße 4;;IMM Tirol/Vorarlberg (Innsbruck);Rimml Alois
8300;1112001;101;8300/1112001/101;Betriebsgebäude - Wien Nordwest;Betriebsgebäude;AT;1200;Wien;Taborstraße 95;;IMM Wien (Wien);
8300;1230431;109;8300/1230431/109;Bahnmeistergebäude - Windischgarsten;Betriebsgebäude;AT;4580;Windischgarsten;Bahnhofstraße 39;;IMM Oberösterreich (Linz);Burgholzer Franz
8300;1187001;115;8300/1187001/115;Bauhofgebäude - Leoben Hbf;Betriebsgebäude;AT;8700;Leoben;Südbahnstraße 5;;IMM Steiermark (Graz);Glawogger Wolfgang
8300;1133001;118;8300/1133001/118;Verwaltungsgebäude Zgf - Amstetten;Büro/Verwaltungsgebäude;AT;3300;Amstetten;Eggersdorferstraße 23;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1220171;123;8300/1220171/123;Bahnmeistergebäude - Haag;Betriebsgebäude;AT;3350;Haag;Holzleiten 12;;IMM NÖ-West (St. Pölten);Moser Johann
8300;1124602;125;8300/1124602/125;Dienstgebäude ehem Strltg - Bruck/Leitha;Büro/Verwaltungsgebäude;AT;2460;Bruck/Leitha;Bahnhofplatz 1;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1171111;128;8300/1171111/128;Dienstgebäude Fbf - Bruck/Leitha;Büro/Verwaltungsgebäude;AT;2460;Bruck/Leitha;;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1170001;129;8300/1170001/129;Bahnmeistergebäude - Eisenstadt;Betriebsgebäude;AT;7000;Eisenstadt;Bahnhofplatz 8;;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Ringeisen Karl
8300;1135001;132;8300/1135001/132;Bahnmeistergebäude - Krems/D;Betriebsgebäude;AT;3500;Krems an der Donau;Lastenstraße 4;;IMM NÖ-West (St. Pölten);Geiger Andreas
