BK;WE;Objekt-Nr;Objekt-Bez.;aus SAP;Land;PLZ;Ort;Straße;Rahmenplanstrecke;Bahnhof;Bahnhofskategorie;Streckennummer;km von;km bis;Betriebsstelle;Region/Standort;BLM;Objektbetreuer
8300;1160102;20000;VS_Innsbruck Hbf (in I) (I);ja;AT;6020;Innsbruck;Südtiroler Platz 7;008 - Staatsgrenze n. Kufstein - Innsbruck Hbf (e);Innsbruck Hbf;Kategorie 1;6012 - WÖRGL (E) - INNSBRUCK HBF. (E);75,13;75,13;Innsbruck Hbf (in I);IMM Tirol/Vorarlberg (Innsbruck);Deopito Hannes;Gatscher Walter
8300;1133001;20001;VS_Greinsfurth (Ams H1U);ja;AT;3300;Greinsfurth;;030 - Amstetten (a) - Abzw Kastenreith (a);Greinsfurth;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);3,6;3,6;Greinsfurth;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20002;VS_Ulmerfeld-Hausmening (Ul);ja;AT;3363;Ulmerfeld/Hausmening;;030 - Amstetten (a) - Abzw Kastenreith (a);Ulmerfeld-Hausmening;Kategorie 5;1021 - AMSTETTEN 11 (A) - WEYER (A);7,735;7,735;Ulmerfeld-Hausmening;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20003;VS_Kröllendorf (Ul  H1);ja;AT;3331;Allhartsberg;;030 - Amstetten (a) - Abzw Kastenreith (a);Kröllendorf;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);11,912;11,912;Kröllendorf;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20004;VS_Hilm-Kematen (Hk);ja;AT;3331;Hilm/Kematen;;030 - Amstetten (a) - Abzw Kastenreith (a);Hilm-Kematen;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);15,316;15,316;Hilm-Kematen;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20005;VS_Rosenau (Hk  H1);ja;AT;3332;Rosenau;;030 - Amstetten (a) - Abzw Kastenreith (a);Rosenau;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);17,41;17,41;Rosenau;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20006;VS_Sonntagberg (Hk  H2);ja;AT;3333;Sonntagberg;;030 - Amstetten (a) - Abzw Kastenreith (a);Sonntagberg;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);19,733;19,733;Sonntagberg;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210211;20007;VS_Böhlerwerk a.d.Ybbs (Hk  H3);ja;AT;3333;Böhlerwerk;;030 - Amstetten (a) - Abzw Kastenreith (a);Böhlerwerk a.d.Ybbs;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);21,396;21,396;Böhlerwerk a.d.Ybbs;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1133401;20008;VS_Stadt Waidhofen a.d.Ybbs (Wh  H1);ja;AT;3340;Waidhofen/Ybbs;;030 - Amstetten (a) - Abzw Kastenreith (a);Stadt Waidhofen a.d.Ybbs;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);24,847;24,847;Stadt Waidhofen a.d.Ybbs;IMM NÖ-West (St. Pölten);Hagler Anita;Grossmann Klaus
8300;1210212;20010;VS_Gaflenz (Ob  H2);ja;AT;3334;Gaflenz;;030 - Amstetten (a) - Abzw Kastenreith (a);Gaflenz;Kategorie 6;1021 - AMSTETTEN 11 (A) - WEYER (A);34,45;34,45;Gaflenz;IMM Oberösterreich (Linz);Rammerstorfer Erich;Garstenauer Franz
8300;1112302;20011;VS_Wien Blumental (in Id) (Id);ja;AT;1230;Wien Inzersdorf;Rosiwalgasse 91;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Wien Blumental;Kategorie 6;2062 - ALTMANNSDORF (E) - WAMPERSDORF;6,296;6,296;Wien Blumental (in Id);IMM Wien (Wien);Anderl Franz;Oehlwerther Konrad
8300;1210621;20012;VS_Hennersdorf (in Id) (Hnd);ja;AT;2332;Hennersdorf;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Hennersdorf;Kategorie 6;1062 - INZERSDORF ORT (A) - WAMPERSDO;9,42;9,42;Hennersdorf (in Id);IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1210621;20013;VS_Achau (Ach);ja;AT;2481;Achau;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Achau;Kategorie 6;1062 - INZERSDORF ORT (A) - WAMPERSDO;13,157;13,157;Achau;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1210621;20014;VS_Münchendorf (Mue);ja;AT;2482;Münchendorf;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Münchendorf;Kategorie 6;1062 - INZERSDORF ORT (A) - WAMPERSDO;19,03;19,03;Münchendorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1210621;20015;VS_Ebreichsdorf (Ebr);ja;AT;2483;Ebreichsdorf;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Ebreichsdorf;Kategorie 5;1062 - INZERSDORF ORT (A) - WAMPERSDO;27,229;27,229;Ebreichsdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1124851;20016;VS_Weigelsdorf (Ebr H1);ja;AT;2484;Weigelsdorf;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Weigelsdorf;Kategorie 6;1062 - INZERSDORF ORT (A) - WAMPERSDO;28,295;28,295;Weigelsdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1124851;20017;VS_Wampersdorf (Wp);ja;AT;2485;Wampersdorf;;017 - Wien Matzleinsdorf (a) - Wiener Neustadt Hbf (a);Wampersdorf;Kategorie 6;2063 - WAMPERSDORF (E) - EBENFURTH (A;30,811;30,811;Wampersdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Bleier Matthias;Weghofer Karl
8300;1125441;20018;VS_Wittmannsdorf (Wit);ja;AT;2544;Wittmannsdorf;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Wittmannsdorf;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);2,554;2,554;Wittmannsdorf;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1125441;20019;VS_Enzesfeld-Lindabrunn (Ez);ja;AT;2551;Enzesfeld/Lindabrunn;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Enzesfeld-Lindabrunn;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);5,148;5,148;Enzesfeld-Lindabrunn;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1125441;20020;VS_Hirtenberg (Ez  H1);ja;AT;2552;Hirtenberg;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Hirtenberg;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);6,382;6,382;Hirtenberg;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1210711;20021;VS_St.Veit a.d.Triesting (Ez  H2);ja;AT;2560;St. Veit/Triesting;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);St.Veit a.d.Triesting;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);8,518;8,518;St.Veit a.d.Triesting;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1210711;20022;VS_Berndorf Fabrik (Tf);ja;AT;2560;Berndorf Fabrik;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Berndorf Fabrik;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);10,042;10,042;Berndorf Fabrik;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1210711;20023;VS_Berndorf Stadt (Tf  H1);ja;AT;2560;Berndorf / Stadt;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Berndorf Stadt;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);12,091;12,091;Berndorf Stadt;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1210711;20024;VS_Pottenstein a.d.Triesting (Pt);ja;AT;2563;Pottenstein;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Pottenstein a.d.Triesting;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);14,661;14,661;Pottenstein a.d.Triesting;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1210711;20026;VS_Weißenbach-Neuhaus (Web);ja;AT;2564;Weißenbach/Neuhaus;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Weissenbach-Neuhaus;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);19,1;19,1;Weissenbach-Neuhaus;IMM NÖ-Ost/Bglnd (Wr. Neustadt);Kruschiz Katharina;Bancsics Johann
8300;1131701;20033;VS_Hainfeld (Hn);ja;AT;3170;Hainfeld;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Hainfeld;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);43,905;43,905;Hainfeld;IMM NÖ-West (St. Pölten);Fahrngruber Manfred;Amon Alois
8300;1210712;20034;VS_Rohrbach a.d.Gölsen (Ror);ja;AT;3163;Rohrbach/Gölsen;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Rohrbach a.d.Gölsen;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);46,01;46,01;Rohrbach a.d.Gölsen;IMM NÖ-West (St. Pölten);Fahrngruber Manfred;Amon Alois
8300;1210712;20035;VS_Rainfeld-Klein Zell (Hn  H2);ja;AT;3162;Rainfeld/Kleinzell;;049 - Leobersdorf (a) - Weißenbach-Neuhaus (e);Rainfeld-Klein Zell;Kategorie 6;1071 - LEOBERSDORF (A) - TRAISEN (A);48,865;48,865;Rainfeld-Klein Zell;IMM NÖ-West (St. Pölten);Fahrngruber Manfred;Amon Alois
